EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE
NSE,D,36687,NA,FUTSTK,14747,011NSETEST,011NSETEST-Nov2036-FUT,011NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36690,NA,FUTSTK,14751,021NSETEST,021NSETEST-Nov2036-FUT,021NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36691,NA,FUTSTK,14753,031NSETEST,031NSETEST-Nov2036-FUT,031NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36694,NA,FUTSTK,14755,041NSETEST,041NSETEST-Nov2036-FUT,041NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36697,NA,FUTSTK,14758,051NSETEST,051NSETEST-Nov2036-FUT,051NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36700,NA,FUTSTK,14762,061NSETEST,061NSETEST-Nov2036-FUT,061NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36702,NA,FUTSTK,14764,071NSETEST,071NSETEST-Nov2036-FUT,071NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36709,NA,FUTSTK,14767,081NSETEST,081NSETEST-Nov2036-FUT,081NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36713,NA,FUTSTK,14769,091NSETEST,091NSETEST-Nov2036-FUT,091NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36715,NA,FUTSTK,14772,101NSETEST,101NSETEST-Nov2036-FUT,101NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36716,NA,FUTSTK,14774,111NSETEST,111NSETEST-Nov2036-FUT,111NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,36718,NA,FUTSTK,14777,121NSETEST,121NSETEST-Nov2036-FUT,121NSETEST 27 NOV FUT,FUT,NA,50,27/11/36,-0.01,XX,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
